pursue,追及する、遂行する、続行する
labor,（肉体的な）労働
inform,知らせる、告げる、影響を与える
explain,説明する
anyway,とにかく
experiment,実験、試み／実験する
degree,（大学の）学位、程度
find out,発見する、気がつく
benefit,利益を得る／特典、福利厚生
payment,支払い
replace,~を取り替える
relatively,相対的に、比較的
infer,推察する、考える
recognize,認める、見分ける、認識する
following,~に続いて／次の、以下の
individual,個人の、個別の／個人
accomplish,成し遂げる、完遂する、達成する
contribute,貢献する、寄付する
reinforce,強化する
budget,予算／予算に計上する
demand,要求する、請求する
allow,許す、可能にする
refer,参照する、言及する、（人を）紹介する
demonstrate,実演する、明示する
booking,（ホテルや乗り物の）予約
exchange,交換する、両替する
assemble,組み立てる、集める
application,応募書類、応募、申請
despite,~にもかかわらず
survey,調査／~を調査する
cause,引き起こす、もたらす／原因
obey,従う
available,入手できる、利用できる、購入できる、
reward,報いる、ほうびを与える／報酬、ほうび
commercial,商業の、商業的な
prefer,~の方を好む
occupy,占有する
contract,契約、契約書
compare,比較する、比べる、例える
agency,代理店、取扱店、機関
inquire,尋ねる、問い合わせる
double,2倍になる、倍増する
department,部門、売り場
release,発表する、発売する
describe,説明する、描写する
management,経営（陣）、管理
a couple of ~,２、３の
financial,金銭上の、財政の、お金の
remove,取り除く
relax,ゆるめる、和らげる
conference,会議、学会
profitable,もうかる、利益になる
decision,決定、決定事項
hire,~を雇う、賃借りする
introduce,紹介する、導入する
performance,業績、仕事ぶり、性能、公演
reject,却下する、拒否する
charge,を請求する、を充電する／料金、責任
destroy,破壊する
graduate,卒業する
according to,~によると、~に従って
reschedule,予定を変更する
income,収入、収益
postpone,延期する
empty,空にする
pleased,喜んで、満足して
entertain,もてなす、楽しませる
argue,議論する、口論する
likely,おそらく／~しそうだ
lead,~を導く
establish,~を設立する、制定する
document,記録する、文書を提供する／文書
star,主演する、呼び物にする
confirm,確認する
secure,~を確保する、固定する／安全な
illustrate,説明する、図解する
state,述べる、言う
recommend,推薦する
equipment,機器、装備
award,賞／授与する
basis,ベース、基準、根拠
examine,詳しく調べる、吟味する
suffer,被る、受ける
propose,提案する、申し出る
environmental,環境の
clothing,衣類
apologize,おわびをする、謝罪する
pick up,~を車で拾う、迎えに行く、受け取る
provide,提供する
carry,扱う、運ぶ、所有する
browse,見て回る、拾い読みする
display,展示／展示する
tradition,伝統、しきたり
conduct,~を行う、導く、実行する、実施する
satisfy,満足させる
represent,代表する
local,地元の／地元の人
candidate,候補者
facility,施設、設備
exclude,~を除く、排除する
take part in,参加する、出場する
possess,所有する
institute,制定する、始める
exhibit,展示物、展示会／展示する
resume,再開する
invest,投資する、注ぎ込む
opening,空き、開店、就職口
overlook,見逃す
notify,知らせる
session,時間、集まり
maintain,維持する、メンテナンスする
purchase,購入する／購入品
host,主催する、接待する
transform,変える、変容させる
construction,建設
note,注意する、述べる／メモ
notice,お知らせ／~に気づく
ship,出荷する、発送する
instruct,指示する、教える
dispute,異議を唱える
deliver,（商品など）を届ける
process,処理する／プロセス、過程、処理
participate,参加する、関与する
simulate,まねる、模倣する
tour,見学する、旅行する／見学、旅行
apply,応募する、応用する
subscribe,購読する、加入する
instruction,説明書、説明、指示
correct,修正する、訂正する
report,報告する、直属する
merchandise,商品
membership,会員、会員資格、会員数
loosen,ゆるめる
based,拠点のある、基づく
research,研究、調査／研究する、調査する
advance,先行した、事前の／進歩、前進
focus,集中させる、照準を合わせる
committee,委員会
result,結果／（結果的に）生じる
successful,成功した、うまく行く
mail,郵送する
excellent,素晴らしい
attend,出席する、参加する
industry,産業、業界
fine,（天気が）晴れた、素晴らしい
fee,料金
shift,移す、変更する
accept,受け入れる、受け付ける
admiration,感心、称賛
upcoming,今度の
gather,集まる
latest,最新の
delivery,配達（物）
submit,提出する
availability,手に入ること、利用できること
transportation,輸送手段
announce,発表する、知らせる、公表する
résumé,履歴書
set up,設置する
executive,重役、取締役／重役（用）の、高級な
recently,最近
previous,前の、以前の
regularly,定期的に
proposal,提案、提案書
