introduction,（人の）紹介、（物の）導入
status,状況、地位
face,（~の方を）向く、直面する
fuel,燃料
skill,技能、スキル
nearly,ほとんど、もう少しで
compliment,賛辞を述べる、ほめる
cafeteria,社員食堂
convention,総会、大会
determine,決定する、判断する、決心する
bear,持つ
crew,乗務員、乗組員
temporarily,一時的に
raise,を引き上げる、を持ち上げる
preserve,保護する、保存する
finally,ついに、最終的に
forward,転送する、進める
because of ~,~のせいで、~のおかげで
enough,十分な／十分に
important,重要な、重大な
vary,変わる
suitable,適した、ふさわしい
admission,入場、入場料、入場許可
qualified,資格条件を満たした
prohibit,禁じる
coordinate,（複数の人や物）をまとめる、調整する
distribution,流通、配布、分配
medical,医療の
affect,影響する、作用する
boost,~を強化する、増加させる
take care of ~,~の世話をする
gain,~を得る、獲得する／利益、得ること
account,占める、説明する／口座・説明
constructive,建設的な、前向きな
look up,調べる
resolve,解決する
reimburse,（払ったお金）を払い戻す
reason,理由、動機
involve,（人を）巻き込む、伴う、含む
export,輸出／~を輸出する
except,~を除いて、~を除外して
attempt,試み／~を試みる
finance,資金を調達する、融資する
alternative,代わりの／代案、選択肢
defend,~を（攻撃から）守る、（~を）防御する
consumer,消費者
rely on,~に依存する、頼る
implication,影響、暗示、言葉の意味合い
proportion,比例、（~に対する）割合、比率
involve,~を伴う、（人）を巻き込む
expand,拡大する
grant,（権利など）を与える／助成金
predict,予測する
tip,アドバイス、秘訣
alter,変更する、作り変える
operation,操作、運転、事業
proof,証拠、証明
figure,数字、人物
seek,捜し求める
enthusiasm,熱中、熱狂
seriously,まじめに、深刻に
imply,ほのめかす、暗示する
accompany,添付する、同行する
general,全般的な、一般的な
vehicle,乗り物、車両
settle,解決する
stimulate,刺激する
correspondence,（文書などの）やりとり、通信
found,設立する、創立する
point out,指摘する
reference,照会先、照会、参照
possibility,可能性
fill out,記入する
convince,確信させる、納得させる
determination,決意すること、決断力の強さ
inspect,検査する、点検する
regret,残念に思う、悔いる
discussion,議論、話し合い
acquisition,（企業の）買収、獲得
adopt,採用する、導入する
draw,引く、描く
retailer,小売業者
break,休憩、中断、破壊／~を壊す
book,予約する
address,話す、対処する
satisfaction,満足
last,続く、待つ
bring up,持ち出す、提起する、育てる
restrict,~を制限する
summary,あらすじ、要約
develop,開発する、発達する
hang,掛かる
expectation,期待、予想
intend,意図する
locate,所在を探し当てる
role,（人の）役割
decade,10年、10年間
match,調和する、似合う
prepare,準備する
pharmaceutical,製薬の、調剤の
interest,利子、興味／（人）に興味を持たせる
post,提示する、投稿する
spread,広げる、掛ける
comfortably,快適に、楽に
organize,計画する、組織する
trust,信用／~を信用する
efficiency,効率の良さ
decline,断る、下降する
encourage,勧める、促す
complete,完了する、記入する
challenge,（能力を試される）課題、挑戦
term,（契約の）条件、期間
catalog,目録を作る、分類する
obtain,取得する、得る
electricity,電気、電力
permission,許可、承諾
enable,可能にする
afford,~する余裕がある
foreign,外国の、異質の
check,（~を）確認する、チェックする
broadcast,放送する
proceed,進む、続行する
transfer,転勤させる、移す
indispensable,必須の、絶対必要な
take over,引き継ぐ
achieve,達成する
publish,出版する
sign up,~に登録する、契約する
find,気づく、発見する
respectively,それぞれ、各々
operate,操作する、運営する
wave,手を振る
compete,競争する
unit,1個、単位
suspect,~だろうと思う、疑う
stress,強調する
explore,探索する、調査する
arrangement,手配、準備
translate,翻訳する
glance,チラッと見る
nominate,ノミネートする
enhance,向上させる、強化する
chair,議長を務める、司会する
evaluate,評価する
simplify,~を単純化する、簡素化する
widen,広げる
administrate,運営する
promote,昇進させる、宣伝する
renew,更新する
discover,発見する
polish,磨く
consist,から成る、で構成される
place,置く
reach,連絡をとる
contact,連絡をとる
combine,組み合わせる、結合する
branch,支店
foresee,予見する、予測する
lower,下げる、低くする
divide,分割する
tie,結ぶ
admire,賞賛する、感心する
paid,有給の、支払い済みの
attach,添付する、取り付ける
interview,面接する、会見する
approach,近づく
observe,観察する
hold,開催する
unfortunately,残念なことに、残念ながら
hand out,配る
surround,囲む
expose,さらす、触れさせる
conserve,保存する、保護する
plug,差し込む、接続する
rent,家賃／賃貸借する
hang up,電話を切る
appeal,懇願する、アピールする
sew,縫う
entitle,権利を与える
finalize,仕上げる、最終的に承認する
memo,社内文書
praise,ほめる、賞賛する
take place,行われる
lean,寄りかかる、立て掛ける
ease,和らげる、容易にする
project,見積もる、計画する
luggage,旅行かばん、手荷物
exceed,超える
distribute,配布する、分配する
run out,が不足する、尽きる
impress,感心する、感動する
store,保存する、蓄える、しまっておく
editor,編集者
identify,特定する、気づく
paddle,パドルで漕ぐ
deserve,値する
remind,再確認する、思い出させる
assure,保証する、確信させる
exhibition,展示会、展示物、展示
appoint,任命する、指名する
leading,首位の、一流の
advertise,宣伝する
organization,団体、会社、組織（化）
try on,試着する
limited,限られた
public,一般の人々、公衆
procedure,手続き、手順
checkout,レジ、チェックアウト
experienced,経験豊富な
entry,入場、参加
personnel,社員、人事部
progress,前進、進行
author,著作、作者／（本を）書く
issue,課題、論争点
directly,直接に、直行して
produce,農産物、物産
expert,専門家／専門的な
balance,残金、バランス
mainly,主に
relief,安らぎ、緩和、除去
suggestion,提案
vase,花瓶
supplier,納入業者、供給業者
patio,テラス、中庭
representative,担当者、代表者
line,ライン、線
packaging,梱包、パッケージ
sign,表れ、徴候
description,説明、記述、描写
period,期間
property,不動産、資産
capacity,能力、収容力
extension,内線、延長
celebration,お祝い、祝典
highly,非常に
flyer,チラシ、広告
assistance,支援、援助
cooperation,協力、協業
laboratory,研究所、実験室
study,研究、調査
headquarters,本社
effect,効果
device,機器、装置
cutlery,食器
intended,意図された、向けられた
expense,費用、経費
brochure,パンフレット
overseas,海外の／海外で
response,返答、返事
satisfied,満足した
region,地域
reasonable,（値段が）手ごろな、妥当な
donation,寄付
unable,（~することが）できない
quarter,四半期
legal,法律に関する、合法の
agreement,契約（書）、同意（書）、合意・協定
regulation,規制、規則
potential,見込みがある、潜在的な／可能性
launch,開始、発売／開始する、発売する
warehouse,倉庫
recommendation,推薦
refund,返金／返金する
claim,申し立て、主張、所有権／主張する
immediately,すぐに、即座に
insurance,保険
council,議会
departure,出発、逸脱
responsible,担当している、責任がある
mayor,町長、市長
avoid,避ける
district,地区
effective,効果的な
former,前の、かつての／前者
invitation,招待（状）
modern,現代的な、近代的な
reduce,（値段を）下げる、減らす
option,選択肢、オプション
efficient,効率的な
search,捜索、検索／探す、検索する
manufacturer,メーカー、製造業者
specific,具体的な、特定の
comfortable,快適な、楽な、自信がある
agricultural,農業の
method,方法
historical,歴史（上）の
entire,全体の
helpful,役立つ、助けになる
range,範囲
complaint,苦情、クレーム
setting,環境
related,関連した
frequent,頻繁な
simply,単純に、単に
promotion,昇進、販売促進
unique,他にはない、独自の、特有の
traditional,伝統的な、従来の
concerning,~に関する
fit,合う、入る
reputation,評判
