evidence,証拠、証明
lean over ~,~に身を乗り出す
border,境、境界線
element,（~を構成する）要素、成分
portrait,肖像画
library,図書館、蔵書、コレクション
defect,欠陥、欠点
unload,（荷物など）を降ろす
intersection,交差点
minimize,~を最小限にする
bulletin,掲示、公報
failure,失敗、故障
caution,注意、警告
multiple,複数の
goods,商品
optimistic,楽観的な
exam,試験
revenue,収支、歳入
mission,使命、任務
recent,最近の
participant,参加者、関係者
suppose,（~を真実だと）思う
aim,目標、狙い／目指す、狙う
plumbing,配管（工事）
wage,賃金、給料
comprehensive,総合的な、包括的な、理解力のある
investigation,調査
purpose,目的、目標
feature,特集、特徴
actual,実際の、現実の
takeoff,離陸、出発
employment,雇用
statement,明細書、声明
upset,動揺した／~を動揺させる
field,分野、競技場
advantage,有利、利点、強み
audience,聴衆、観客
product,製品、生産物
adjustment,調整、調節
theme,テーマ、論題
lighthouse,灯台
summarize,要約する
remark,言葉、コメント、意見
slight,ほんのわずかの
fountain,噴水
enroll,登録する、入会する、入学する
improvement,改善、向上
routine,所定の、日常的に行われる
shelf,棚
oppointment,会う約束、アポイントメント
item,項目、品物
mortgage,抵当／~を抵当に入れる
couple,二つ、一対
outstanding,傑出した、未払いの
reception,歓迎会、パーティー、受領
certain,特定の、確かで
commuter,通勤者
solid,固い、堅実な、まじめな
recession,後退
deserted,人の気配がない、さびれた
sealed,密封された
current,現在の
acting,代理の、事実上の
culinary,料理の
primary,主な、本来の
dominant,支配的な、圧倒的な、主要な
independent,独立した、自主性のある
viable,実行可能な
capable,能力がある、~できる
attractive,魅力的な
satisfactory,満足な
determined,断固とした、決定した
physical,身体的な、物質的な
principal,主な、第一の
domestic,国内の
mobile,移動式の
functional,機能的な、実用的な
round-trip,往復旅行の
rewarding,やりがいのある、実りの多い
tight,きつい、ぎっしり詰まった
out of order,故障して
nearby,近くの
whole,全体の
respectful,礼儀正しい、丁寧な
protective,保護用の
another,もう一つの、別の
seated,座った、座らせられた
abroad,海外で、国外へ
athletic,運動好きな、運動選手用の
greatly,大いに、非常に
price,価格、値段／~に値段をつける
on average,平均して
schedule,~を予定する／予定、スケジュール
accordingly,したがって、それに応じて
trustworthy,信頼できる、信用できる
promptly,すばやく、きっかりに、即座に
superior,優れた、上等の
consistently,常に、変わらず
registration,登録、記名
otherwise,さもなければ
specification,仕様書
proudly,誇らしげに、堂々と
rejection,拒絶、断ること
formally,正式に、フォーマルに
preference,好み、希望
heavily,大量に、非常に頻繁に、重く
transact,（取引、業務など）を行う
surprisingly,驚いたことに、意外に
target,的、目標／~を目標にする
rapidly,急速に
customize,カスタマイズする、特別注文に応じて作る
side by side,横に並んで
climate,気候
exactly,ちょうど、正確に
currency,通貨
meanwhile,その間に、それまでは
matter,重要である／（考慮すべき）事柄
kindly,親切に、どうぞ～してください
rest,残り、休み／休む
in the meantime,その間に、話変わって
landscape,景観、地形
definitely,絶対に、間違いなく
approximately,おおよそ
firmly,固く、確固として
nervous,緊張した、神経質な
gradually,徐々に、段階的に
respect,~を尊敬する／~への尊敬
eventually,最終的には、結局
material,原料、素材
hardly,ほとんどない
no later than ~,遅くとも~
in a row,連続して
publicly,公的に、公然と
seldom,めったに~しない
expertise,専門知識
evenly,平らに、均一に
regardless of ~,~にかかわらず
in common,共通に、共同に
plenty of ~,たくさんの~
readily,簡単に、すぐに
copyright,著作権
therefore,したがって、ゆえに
statistics,統計
nevertheless,それにもかかわらず
revise,~を修正する、改訂する
lately,最近、この頃
sustainable,持続可能な、維持できる
in person,直接会って、じかに
participation,参加、加入
necessarily,必ずしも~でない、必然的に
credit,（人の）称賛、名声、信用
sharply,急激に、鋭く
withdraw,撤収する、下ろす、取り下げる
somewhat,いくぶん、ある程度
sort,~を分類する／種類
moreover,そのうえ、しかも
sharp,鋭い、（頭が）さえる
widely,広く
political,政治的な、政治の
altogether,合計して、全部で
take advantage of ~,~を上手く利用する
increasingly,ますます
in spite of ~,~にもかかわらず
including,含めて
artifical,人工的な、作り物の
besides,さらに
active,活動的な、活発な
via,~経由で
allocate,割り当てる
in charge of,~を担当している、~の責任がある
activate,~を始動・稼動させる
throughout,くまなく
relocate,移転させる、引っ越す
inquiry,問い合わせ
assembly line,（工場の）組み立てライン
vision,見通し、先見
unfortunate,不運な
knowledge,知識
reasonable,手頃な、妥当な
be absent from ~,~を欠席する
original,元の、最初の
borrow,~を借りる
absent,欠席の、不在の
ban,~を禁止する／禁止
numerous,たくさんの
sum,~を合計する／合計
grateful,感謝している
souvenir,お土産、記念品
total,全部の、総計の
either A or B,AかBかどちらか
disappointing,期待外れの、がっかりさせるような
distant,遠い、離れた、距離がある
rare,まれな、珍しい
abolish,（法律や制度など）を廃止する
spacious,広々とした、ゆったりとした
surely,必ず、確かに
random,無作為の、任意の
steady,着実な
challenging,困難だがやりがいのある、意欲をかきたてる
competitor,競争相手
due,期限の
insist,~を主張する、しつこく要求する
valued,重要な、高く評価された
press,報道陣／~に圧力をかける
slanted,傾斜した、斜めの
previously,以前は
broad,広い
submission,提出物、提出、投稿
distinct,はっきり異なる、独特な
requirement,必要条件、必要なもの
casual,時々の、偶然の、カジュアルな
enormous,莫大な、巨大な
unlikely,~しそうもない、ありそうもない
consent,同意する、承諾する／同意、承諾
organized,組織化された、有能な
compromise,妥協、譲歩／妥協する、譲歩する
convenient,都合のよい、便利な
tool,道具
equal,同じ、平等な
equality,平等、等しいこと
luxury,豪華な、ぜいたくな
to some degree,ある程度まで
yearly,年1回の、毎年の
extensive,幅広い、大規模な
timely,タイミングの良い、タイムリーな
citizen,国民、市民
fixed,固定した、一定の
approval,承諾、承認
severe,深刻な、厳しい
deprive A of B,AからBを奪う
besed,基づいた
unveil,~を公表する、明らかにする
substantial,かなりの、実在する
diligent,勤勉な
personal,個人的な
inspire,~を引き起こす、~にひらめきを与える
narrow,狭い、細い
neither A nor B,AでもBでもない
patterned,模様のついた
courteous,丁寧な、礼儀正しい
further,さらなる、さらに遠い
inspection,（綿密な）調査、視察
promotional,販売促進の
exhaust,~を使い果たす、ひどく疲れさせる
thorough,徹底的な、完璧な
stockholder,株主
close,近い
extreme,極度の、極端な
prompt,迅速な
ignore,~を無視する
minimum,最小限の、最低限の
instead,代わりに
furnished,家具付きの
unless,~しない限り、~の場合を除き
fundamental,基本の、基礎の
train,~を教育する、訓練する／電車
welcome,歓迎される、自由に~してよい
willingly,喜んで、進んで
desirable,望ましい、魅力的な
pay attention to ~,~に注目する、注意する
weekly,週に一度の
originate,起源とする
stable,安定した
accountant,会計士
in-house,社内の、内部の
profession,専門的職業
private,少人数の、個人の
encounter,直面する、遭う、出くわす
effective,効果的な
personalize,自分流にする
innovative,革新的な
overcome,乗り越える、克服する
memorable,記憶に残るような、印象的な
eligible,資格がある
amusing,面白い、楽しい
alternate,行き戻りする、交替する
dependable,信頼できる
suspend,一時中断する
select,~を選び出す
generate,生み出す
probability,確率、可能性、見込み
paperwork,書類、書類作業
remenber,~を覚えている、~を思い出す
restore,復旧させる、取り戻す
feel free to ~,自由に~する
initiate,開始する
expiration,期限切れ、（契約などの）終了
disregard,無視する
creative,創造力のある
track,追跡する／線路、走路
positive,前向きな、肯定的な
interact,交流する
applcation,申し込み、応用
substitute,代替する
experience,経験／~を経験する
administer,管理する
qualify,資格を得る、~に資格を与える
administrative,管理の
applicant,志願者、応募者
publicize,宣伝する
