familiarize,慣らす、習熟させる
tailor,仕立屋、テーラー
outfit,装備する
coverage,報道、（保険の）補償
catering,仕出し、出前、ケータリング
flaw,欠陥、欠点
serve as,~としての機能を果たす
prescription,処方箋
stem,起因する
poll,世論調査、投票
neglect,~を怠る、放置する
refreshment,軽い飲食物
wildlife,野生動物
witness,目撃者
inclined to,~する傾向がある
timepiece,時計
put off,延期する
invantory,在庫、在庫品、棚卸
precede,先行する
reliable,信頼できる、頼りになる
assign,割り当てる、任命する
remedy,改善策、治療薬
specify,明記する
commerce,商業
complement,合う、補完する
pillar,柱、大黒柱
enforce,施行する、実行する
carrier,運輸業者
banquet,夕食会、宴会
identification,身分証明
rinse,すすぐ
collaboration,協力、共同制作
audit,会計監査する
physician,医者
keep up with,遅れないようについていく
conservation,保護、保存
valid,有効な
voucher,引換券、割引券
upgrade,品質（性能）を良くする／改良
carpenter,大工
capture,記録する、捉える
textile,織物
fasten,結ぶ、留める
mechanic,機械工
certificate,認定証、修了証
legislation,法律、法律制定
consume,消費する
measurement,寸法、測定
integrate,統合する
fund-raising,資金調達のための、慈善の
admit,~を認める、入院させる
accomplished,熟達した、スキルの高い
orientation,新入社員向け説明会
critic,評論家、批評家
house,収容する
highlight,強調する、スポットを当てる／見どころ
compensate,補償する
cleaner’s,クリーニング屋
remodel,改築する
profile,人物紹介する／プロフィール
ingredient,（料理の）材料
precision,正確さ
attend to,対応する
archive,公文書保管所、書庫
drop off,~を（車から）降ろす
utensil,台所用品
look into,吟味する、詳しく調べる
subscription,定期購読
storage,保管、貯蔵
counterpart,相当する人（物）
commend,ほめる
incident,偶然の出来事
commence,始まる
stapler,ホチキス
redeen,~を回復する、取り戻す、~を現金に換える
surrounding,周辺の
beverage,飲料
conclusion,結論
acquire,買収する、得る、獲得する
outcome,結果
mount,取り付ける、登る
perspective,視点
execute,実行する
anticipated,待ち望まれた
prior,前の
assessment,評価、見積もり
dissolve,溶ける
aircraft,航空機
consult,相談する
advocate,提唱者、支持者／提唱する
escort,付き添う、送り届ける
dairy,乳製品、酪農場、酪農業／牛乳の、乳製品の
merger,合併、統合
