politician,政治家
to date,今まで
afterwards,その後で
moderate,ほどほどの、適度な
wholesale,卸売りの
exceptionally,並外れて、非常に
inclusive,すべてを含んだ、含めて
repeatedly,繰り返し
generally,おおむね、通常、一般的に
after all,結局
regional,地域の
precisely,正確に
subsequent,それに続く
prominently,目立って、傑出して
costly,費用のかかる、高価な
reportedly,伝えられるところでは
occupied,（部屋、座席、ベッド等が）使われている
on commission,歩合制で
knowledgeable,知識豊富な
concentrated,集中的な、濃縮された
confidential,機密の、秘密の
on track,軌道に乗って
in question,問題になっている
informally,くだけて、非公式に
circumstance,状況
intentionally,意図的に
abundant,豊富な、十分な
ample,十分な、あり余るほどの
considerate,思いやりがある、理解がある
roughly,おおよそ
splendid,素晴らしい
swiftly,すばやく、迅速に
panel,グループ、パネル
consequently,結果として
doubtful,疑わしい
given,~を考慮すると、~と仮定すると
proficient,堪能な、熟達した
courtesy of,~の好意により
noticeable,容易に気付く
whereas,~の一方で
portion,部分、一人分の食事
controversial,議論を引き起こす、議論の的になる
prospective,見込みのある、将来の
instrumental,重要な役割を果たす
last-minute,間際での
scope,範囲、余地
immense,非常に大きな、巨大な
speculation,推測、推量
commonly,一般に、通常、ふつうに
supplement,補う／付録、付記、栄養補助食品
agreeable,快適な、心地良い
understaffed,人手不足の
evident,明らかな
rarely,めったに~しない、まれに
prsuasive,説得力のある
logical,妥当な、論理的な、筋の通った
securely,しっかりと、安全に
lumber,材木、製材
noted,有名な
commemorate,祝う、記念する
unpredictable,予測できない、法外な
voluntary,自主的な、任意の
conscious,意識している、自覚している
deprive,奪う
timeline,予定表
dismiss,解雇する
demanding,要求の厳しい
rafting,（いかだやゴムボートでの）川下り
simultaneous,同時に起こる
consolidate,統合する
tidy,きちんとした、整頓された
fabric,生地、織物
diverse,多種多様な、たくさんの種類の
syndicate,複数の新聞に同時に配給する
outdated,時代遅れの
revert,戻る
pilot,試験的な
showcase,披露する／お披露目の場、ショーケース
beneficial,有益な
oversee,監督する
essential,最も重要な、必要不可欠な、本質的な
freight,貨物、輸送、輸送料／輸送する
aggressive,攻撃的な、積極的な
accommodate,満たす、合わせる
majority,大多数、大部分
endorse,支持する
adjacent,~に隣接した
discontinued,（製造・販売が）終了した
joint,合併の、共同の
pertain,該当する
prestigious,権威のある、誉れ高い
mentoring,メンター制度
liable,責任を負った
spill,こぼす、こぼれる
vast,非常に大きな、莫大な
carry out,行う、実行する
investigate,調査する
personalized,個人に合わせた、名前入りの
subtle,気付きづらい、見つけにくい
diversify,多様化する
inactive,怠惰な、活動していない
compliance,（法律・規則等の）順守
neighboring,近隣の
deplete,使い果たす
situated,位置している
durable,耐久性がある、丈夫な
inevitable,避けられない
speculate,予測する
picturesque,絵のように美しい
prototype,試作品、原型
superb,素晴らしい
recount,詳しく話す
considerably,かなり
adhere,忠実である、実行する、接着する
fragile,壊れやすい
managerial,管理職の、経営上の
minimal,最小の
intervene,介在する、口をはさむ
inclement,荒れ模様の、厳しい
delete,削除する
eliminate,取り除く、排除する
solicit,求める
municipal,地方自治体の
comprehend,理解する
legible,判読できる
emerging,新たに現れた、新興の
exhausted,疲れ切った
verify,実証する
preliminary,仮の、暫定の、本番前の
proficiency,熟達、スキルの高さ、高い能力
thrilled,とてもわくわくして、大喜びした
disclose,明らかにする
external,外の、外面の
embark on,着手する、乗り出す
allowable,許される、許容できる／手当、許容量
scenic,眺めがいい、景色の
sophisticated,洗練された、高性能の
scatter,まきちらす
revolutionary,革命的な
acclaimed,絶賛されている、評価された
informative,有益な
concede,譲歩する
compulsory,義務的な
delegare,委譲する、委任する
vacant,空の、空いた、欠員の
resistant,耐えられる、抵抗力のある
designated,指定された
disseminate,普及させる
horizontal,水平の
nationwide,全国的な／全国的に
entertaining,おもしろい、愉快な
file,提出する
ordinary,普通の、通常の
applaud,拍手する
permissible,許容される、容認できる
datergent,洗剤
identical,同一の
resemble,似ている
tentative,暫定的な
hands-on,実地の、実用的な
fame,名声
emerge,現れる
profound,深遠な
plummet,急落する
unanimous,満場一致の
spectacular,壮観な、目を見張るほどの
ceremonial,儀式上の、形式的な
conform,従う、一致する
modest,少しの、高価ではない、謙虚な
entrepreneur,起業家
notable,注目すべき、有名な
streamline,合理化する、簡略化する
authentic,本物の
break down,故障する
genuine,本物の
introductory,入門の、最初の、お試しの
remote,人里離れた、可能性が低い
dilute,薄める
premier,最高の、トップの
screening,上映、検査
embarrassing,恥ずかしい
rectify,是正する
dental,歯科の
put through,電話をつなぐ
reveal,明らかにする
lengthy,長期にわたる、冗長な
utmost,最大限の、これ以上ない
retrieve,取り出す、取り戻す
certified,有資格の、公認の
misplace,紛失する、置き忘れる
competent,有能な
reminisce,懐かしむ
crucial,非常に重要な
coincide,同時に起こる
vertical,垂直な
subsidiary,子会社
automated,オートメーション化された
procrastinate,先延ばしにする
variable,変えられる
disruption,混乱、妨げ
distinguished,際立って優れた、傑出した
incur,（損失や罰金等を）受ける
shorthanded,人手が不足して
subside,弱まる
wasteful,無駄の多い
ongoing,進行中の、続いている
inferior,劣っている
comply,従う
disturb,邪魔する、悩ませる
periodical,定期刊行物
suited,適任である
portray,描写する、表現する
hourly,1時間単位の
pull into,車を寄せる
arbitrary,恣意的な、任意の
reunion,同窓会、再会
objective,目的、目標
facilitate,容易にする、促進する
unfavorable,否定的な
rigorous,厳格な、厳密な
endangered,絶滅の危機に瀕した
diagnose,診断する
delicate,細心の注意を要する、デリケートな
exercise,使う、発揮する
steadily,着実に
embrace,積極的に受け入れる、快諾する
preferable,望ましい
terminate,終わらせる
negotiable,交渉可能な
itemize,箇条書きにする
apparent,明らかな、明白な
outweigh,上回る
adequate,（要求を満たすのに）十分な、適切な
waive,免除する、放棄する
on-site,社内の、現場の
shorten,短くする
adverse,良くない、不利な、逆の
occupancy,占有、占有人数
ancient,古代の、大昔の
controversy,論争
beforehand,あらかじめ、事前に
coincidence,偶然
conservative,保守的な
credentials,資格、経歴、資質
concise,簡潔な
oversight,見落とし、手落ち、監視
steep,大幅な、急な
drapery,カーテン
endeavor,努力、試み／努力する
resolution,決議、解決策
continuous,連続の
turnaround,立て直し、好転、処理時間
suspicious,不審な
clasp,留め具、金具
vital,重要な、不可欠な
pavement,舗装道路
reluctant,気が進まない
scrutiny,綿密な調査、凝視
conventional,従来型の、型にはまった
excess,超過
detailed,詳細な
concession,譲歩
inspiring,やる気が出るような、活気づける
amendment,改正、修正
remarkable,驚くべき、注目すべき
apprentice,見習い、実習生
regrettable,残念な
capability,能力
countless,数え切れないほどの、無数の
liaison,連絡係、調整
mutual,共通した、相互の
depression,不景気
adapt,適応する、適応させる、改作する
intermission,休憩時間
intensive,集中的な
retention,保持
unforeseen,想定外の
amenity,娯楽、生活を便利にするもの
enthusiastically,熱心に
exclusion,除外
ambitious,意欲的な、野心的な
superintendent,監督、管理者
rather,~よりむしろ
roster,当番表
in conjunction with,~と関連して
malfunction,不調、故障
barely,かろうじて、やっと
momentum,勢い
strikingly,著しく
lapse,時間の経過／失効する、うっかりミスをする
aboard,船に乗って
tenure,在任期間
voluntarily,自発的に、自主的に
turnout,参加者数
independently,単独で、独立して
bond,債権、公債、きずな
in writing,書面で
remuneration,報酬
thus,このようにして、したがって
observance,行事、順序
